"","time","city","loan"
"820","2005","LOUISA",112539
"821","2005","DUBLIN",98758
"822","2005","PORT GIBSON",103454
"823","2005","LEESVILLE",68280
"824","2005","WAYNESBORO",119007
"825","2005","VILLE PLATTE",80784
"826","2005","WINFIELD",94082
"827","2005","COLUMBIANA",101031
"828","2005","DICKSON",102778
"829","2005","WILLISTON",106318
"830","2005","LAFAYETTE",69357
"831","2005","LA FOLLETTE",121263
"832","2005","GAINESVILLE",108359
"833","2005","HARDINSBURG",124479
"834","2005","HENDERSON",111252
"835","2005","MONTICELLO",98139
"836","2005","HILLSBORO",109977
"837","2005","VANDALIA",99839
"838","2005","NEW HAVEN",159882
"839","2005","JACKSONVILLE",87137
"840","2005","RIPLEY",71339
"841","2005","COAHOMA",94650
"842","2005","SMITHVILLE",136314
"843","2005","VAN ALSTYNE",124944
"844","2005","HOUSTON",140715
"845","2005","TEXARKANA",112132
"846","2005","PITTSFIELD",127465
"847","2005","MAYFIELD",85805
"848","2005","POTOSI",98698
"849","2005","SENATOBIA",102962
"850","2005","HUTCHINSON",100120
"851","2005","ZUMBROTA",109424
"852","2005","ESCANABA",133147
"853","2005","PIERZ",116909
"854","2005","MORA",101370
"855","2005","PARK RAPIDS",141023
"856","2005","MINNETONKA",100046
"857","2005","PRIOR LAKE",119940
"858","2005","FARIBAULT",100678
"859","2005","DEVILS LAKE",129755
"860","2005","HAMILTON",117081
"861","2005","ARTHUR",143912
"862","2005","IRON RIVER",115451
"863","2005","EDEN PRAIRIE",133921
"864","2005","LOLO",146136
"865","2005","HUDSON",153037
"866","2005","METROPOLIS",99065
"867","2005","EASTMAN",100285
"868","2005","WYNNE",134427
"869","2005","FONTANELLE",100859
"870","2005","PENNSVILLE",62388
"871","2005","POMEROY",124225
"872","2005","NORTH LITTLE ROCK",125441
"873","2005","WHEATLAND",129252
"874","2005","DULUTH",137632
"875","2005","GASSAWAY",70800
"876","2005","WICHITA FALLS",116112
"877","2005","RANTOUL",89098
"878","2005","FLEETWOOD",84140
"879","2005","CHILLICOTHE",123897
"880","2005","WILLSBORO",77283
"881","2005","DEWITT",68774
"882","2005","BONIFAY",162659
"883","2005","WEST HARRISON",129557
"884","2005","WAUKON",144635
"885","2005","AZLE",89090
"886","2005","WYALUSING",123668
"887","2005","HAWESVILLE",62591
"888","2005","CLARINDA",56875
"889","2005","PELLA",103343
"890","2005","PERRY",104570
"891","2005","LAWLER",136154
"892","2005","LANSING",130370
"893","2005","NEKOOSA",118598
"894","2005","LINCOLN",117163
"895","2005","LA CROSSE",103970
"896","2005","OSWEGO",38075
"897","2005","INVERNESS",125790
"898","2005","WASHINGTON",125968
"899","2005","SPENCER",98611
"900","2005","WAUPACA",114229
"901","2005","HARVARD",88574
"902","2005","WALWORTH",117013
"903","2005","MARION",128908
"904","2005","LUZERNE",97423
"905","2005","WONDER LAKE",128546
"906","2005","ADA",117643
"907","2005","SANDY",112528
"908","2005","SAULT SAINTE MARIE",98091
"909","2005","FREMONT",116741
"910","2005","MALAD CITY",116855
"911","2005","LA HARPE",86460
"912","2005","LAKE ODESSA",139449
"913","2005","ENGLEWOOD",143170
"914","2005","RICHWOOD",103959
"915","2005","WALTON",66141
"916","2005","COLWICH",132015
