"","co","name","time","city","loan","atot"
"160","1062621","SOUTHWEST BC","2001","STILLWATER",931046,"1216495"
"161","1062649","UNITED BC OF WY","2001","JACKSON",538288,"712455"
"162","1062676","METCALF BSHRS","2001","OVERLAND PARK",120150,"220026"
"163","1063262","FIRST OLATHE BSHRS","2001","MISSION",267578,"464497"
"164","1063552","SOUTHWEST MO BC","2001","CARTHAGE",254573,"402534"
"165","1063619","FIRST MIDWEST ACQUISITION CORP","2001","MIDWEST CITY",120680,"295681"
"166","1064269","CORNERSTONE ALLIANCE","2001","WINFIELD",124712,"181387"
"167","1064278","INTRUST FC","2001","WICHITA",1774806,"2556090"
"168","1064326","UNITED NE FNCL CO","2001","GRAND ISLAND",313524,"505398"
"169","1064429","CENTRAL OF KS","2001","JUNCTION CITY",350780,"512324"
"170","1064652","MIDWEST BANC HC","2001","PIERCE",149164,"213990"
"171","1064728","FIRST FIDELITY BC","2001","OKLAHOMA CITY",323210,"541239"
"172","1064737","FIRST ADA BSHRS","2001","ADA",163035,"277937"
"173","1064915","GN BSHRS","2001","GIRARD",118131,"167579"
"174","1065163","FIRST INDEPENDENT BC","2001","CHICKASHA",86080,"160178"
"175","1065378","FIRST NAT BSHRS","2001","GOODLAND",191734,"331309"
"176","1066003","NBC CORP OF OKLAHOMA","2001","OKLAHOMA CITY",252743,"297712"
"177","1066067","FREMONT BC","2001","CANON CITY",190119,"324278"
"178","1066209","LAURITZEN CORP","2001","OMAHA",697929,"1182254"
"179","1066414","NODAWAY VALLEY BSHRS","2001","MARYVILLE",257093,"358241"
"180","1066713","SUNFLOWER FNCL","2001","SALINA",575273,"895181"
"181","1066982","FIRST PL FC","2001","MINNEAPOLIS",2017114,"4517926"
"182","1067626","PRAIRIE CAP","2001","AUGUSTA",159962,"245585"
"183","1067804","HILLCREST BSHRS","2001","OVERLAND PARK",688878,"948212"
"184","1068025","KEYCORP","2001","CLEVELAND",63308543,"80567015"
"185","1068191","HUNTINGTON BSHRS","2001","COLUMBUS",19068801,"28413445"
"186","1068294","BANK ONE CORP","2001","CHICAGO",156733000,"268954000"
"187","1068623","AMERICAN BC","2001","WHEELING",359451,"691867"
"188","1068762","MELLON FNCL CORP","2001","PITTSBURGH",9589094,"35771807"
"189","1069125","NATIONAL CITY CORP","2001","CLEVELAND",84871641,"106894340"
"190","1069273","LAWRENCE KEISTER & CO","2001","SCOTTDALE",63310,"157649"
"191","1069778","PNC FNCL SVC GROUP","2001","PITTSBURGH",42152595,"69570206"
"192","1070336","FIRST WV BC","2001","WHEELING",120944,"232030"
"193","1070345","FIFTH THIRD BC","2001","CINCINNATI",43727955,"71026340"
"194","1070420","TRADITIONAL BC","2001","MOUNT STERLING",311357,"450554"
"195","1070448","WESBANCO","2001","WHEELING",1539695,"2474454"
"196","1070484","CITIZENS BSHRS","2001","SOMERSET",187041,"315447"
"197","1070569","NEXTIER INC","2001","BUTLER",302012,"408106"
"198","1070578","PEOPLES BC","2001","MARIETTA",772856,"1193966"
"199","1070617","PROVIDENT FNCL GROUP","2001","CINCINNATI",9205701,"16780784"
"200","1070644","COMMUNITY TR BC","2001","PIKEVILLE",1711072,"2505688"
"201","1070747","OAK HILL FNCL","2001","JACKSON",653295,"778332"
"202","1070756","NB&T FNCL GROUP","2001","WILMINGTON",384562,"670770"
"203","1070765","COMMUNITY BSHRS","2001","MCARTHUR",336584,"463913"
"204","1070804","FIRSTMERIT CORP","2001","AKRON",7437914,"10194776"
"205","1070831","KENTUCKY BSHRS INC","2001","PARIS",275515,"397257"
"206","1070998","FIRST ST BSHRS","2001","MIDDLESBORO",226077,"276995"
"207","1071043","FIRST PRESTONSBURG BSHRS","2001","PRESTONSBURG",91119,"161964"
"208","1071191","FARMERS NAT BC","2001","CANFIELD",442833,"656782"
"209","1071203","SKY FNCL GROUP","2001","BOWLING GREEN",6559463,"9220228"
"210","1071276","FIRST FNCL BC","2001","CINCINNATI",2872249,"3854794"
"211","1071306","FIRST COMMONWEALTH FNCL CORP","2001","INDIANA",2567933,"4593849"
"212","1071342","MCCREARY BSHRS","2001","WHITLEY CITY",123557,"181976"
"213","1071379","BELMONT BC","2001","BRIDGEPORT",116208,"288856"
"214","1071397","S&T BC","2001","INDIANA",1642768,"2336013"
"215","1071409","FIRST NAT LONDON BSHRS CORP","2001","LONDON",130780,"194293"
"216","1071454","RURBAN FNCL CORP","2001","DEFIANCE",600731,"749154"
"217","1071463","CUMBERLAND VALLEY FNCL CO","2001","LONDON",342975,"469226"
"218","1071502","UNITED BC","2001","MARTINS FERRY",183339,"341317"
"219","1071539","MIDDLEFORK FNCL GROUP","2001","HYDEN",96176,"172549"
"220","1071566","GREENVILLE NAT BC","2001","GREENVILLE",198220,"271138"
"221","1071623","CITIZENS NAT CORP","2001","PAINTSVILLE",173811,"318255"
"222","1071632","UNIZAN FINANCIAL CORP","2001","CANTON",887147,"1096842"
